Order ID,Order Date,Shop,Pick Up Emirate,Drop Off Emirate,Drop Off Area,Delivery Company,Status,COD,Delivery Cost,Charge to Customer,Category,Delivery Route,Month - Formula,Month
3151,6/9/2020,Shop031,Abu Dhabi,Dubai,Vida,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3155,6/9/2020,Shop025,Sharjah,Sharjah,Villa 17,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Sharjah to Sharjah,September,September 
3148,6/9/2020,Shop035,Sharjah,Al Ain,Al Muwaij'i,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Sharjah to Al Ain,September,September 
3146,6/9/2020,Shop003,Abu Dhabi,Sharjah,Al Suyoh 7,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Sharjah,September,September 
3158,6/9/2020,Shop042,Abu Dhabi,Al Ain,Al Tuwayya,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Al Ain,September,September 
3144,6/9/2020,Shop003,Abu Dhabi,Al Ain,Al Mas'oudi,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Al Ain,September,September 
3153,6/9/2020,Shop043,Dubai,Al Ain,Zakhir ,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Al Ain,September,September 
3142,6/9/2020,Shop003,Abu Dhabi,Sharjah,,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Sharjah,September,September 
3157,6/9/2020,Shop044,Dubai,Fujeirah,,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Fujeirah,September,September 
3143,6/9/2020,Shop011,Sharjah,Abu Dhabi,NYU AD,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Abu Dhabi,September,September 
3190,7/9/2020,Shop016,Dubai,Dubai,Al hamoor,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3178,7/9/2020,Shop016,Dubai,Dubai,,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3164,7/9/2020,Shop045,Abu Dhabi,Dubai,Al barsha,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3174,7/9/2020,Shop046,Al Ain,Sharjah,Al noof,DeliveryCompany01,Delivered,AED 190.00,AED 32.00,AED 50.00,,Al Ain to Sharjah,September,September 
3189,7/9/2020,Shop016,Dubai,Dubai,Business Bay,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3163,7/9/2020,Shop015,Dubai,Ras Al Khaimah,Ritz Carlton,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3187,7/9/2020,Shop003,Abu Dhabi,Umm Al Quwain,Falaj AlMoalla,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Umm Al Quwain,September,September 
3179,7/9/2020,Shop016,Dubai,Dubai,,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3182,7/9/2020,Shop016,Dubai,Dubai,,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3176,7/9/2020,Shop047,Sharjah,Dubai,Al Safa,DeliveryCompany01,Cancelled/Returned,,AED 0.00,AED 0.00,,Sharjah to Dubai,September,September 
3170,7/9/2020,Shop002,Dubai,Abu Dhabi,New Shahama,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3185,7/9/2020,Shop048,Abu Dhabi,Ras Al Khaimah,Al Regaa,DeliveryCompany01,Delivered,,AED 32.00,AED 60.00,,Abu Dhabi to Ras Al Khaimah,September,September 
